Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
COMP SCI 577,2022-09-21,11:00 AM,2022-09-21,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
COMP SCI 577,2022-09-28,11:00 AM,2022-09-28,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
COMP SCI 577,2022-10-05,11:00 AM,2022-10-05,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
COMP SCI 577,2022-10-12,11:00 AM,2022-10-12,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
COMP SCI 577,2022-10-19,11:00 AM,2022-10-19,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
COMP SCI 577,2022-10-26,11:00 AM,2022-10-26,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
COMP SCI 577,2022-11-02,11:00 AM,2022-11-02,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
COMP SCI 577,2022-11-09,11:00 AM,2022-11-09,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
COMP SCI 577,2022-11-16,11:00 AM,2022-11-16,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
COMP SCI 577,2022-11-23,11:00 AM,2022-11-23,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
COMP SCI 577,2022-11-30,11:00 AM,2022-11-30,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
COMP SCI 577,2022-12-07,11:00 AM,2022-12-07,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
COMP SCI 577,2022-12-14,11:00 AM,2022-12-14,11:50 AM,FALSE,DIS for COMP SCI 577,2239 Engineering Hall,FALSE
ENGL 140,2022-09-07,12:05 PM,2022-09-07,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-09-14,12:05 PM,2022-09-14,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-09-21,12:05 PM,2022-09-21,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-09-28,12:05 PM,2022-09-28,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-10-05,12:05 PM,2022-10-05,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-10-12,12:05 PM,2022-10-12,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-10-19,12:05 PM,2022-10-19,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-10-26,12:05 PM,2022-10-26,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-11-02,12:05 PM,2022-11-02,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-11-09,12:05 PM,2022-11-09,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-11-16,12:05 PM,2022-11-16,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-11-23,12:05 PM,2022-11-23,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-11-30,12:05 PM,2022-11-30,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-12-07,12:05 PM,2022-12-07,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-12-14,12:05 PM,2022-12-14,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
COMP SCI 540,2022-09-08,11:00 AM,2022-09-08,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-09-15,11:00 AM,2022-09-15,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
